REPORT_DATE,FATALITIES,COUNTY,change_2006_2016,indicator_2002_2006,indicator_1999_2001,indicator_1993_1998
2005-09-30,1,04013,4.0,1,0,0
2005-09-30,1,04013,4.0,1,0,0
2005-05-13,1,39043,2.0,1,0,0
2005-10-16,5,55035,2.0,1,0,0
2005-07-28,1,04013,4.0,1,0,0
2005-08-23,1,25013,2.0,1,0,0
2005-07-16,1,17091,3.0,1,0,0
2005-05-13,1,39043,2.0,1,0,0
2004-09-06,3,36087,2.0,1,0,0
2004-09-21,1,40109,2.0,1,0,0
2004-05-27,1,45051,5.0,1,0,0
2004-06-08,1,06065,2.0,1,0,0
2004-06-04,1,17031,5.0,1,0,0
2004-03-13,1,45041,2.0,1,0,0
2003-10-01,1,26087,2.0,1,0,0
2002-08-30,1,39043,2.0,1,0,0
2003-06-14,1,17031,5.0,1,0,0
2002-05-18,1,04013,4.0,1,0,0
1995-06-30,2,44007,3.0,0,0,1
2000-03-30,3,37127,2.0,0,1,0
1996-12-22,1,22017,3.0,0,0,1
1996-01-20,1,22001,2.0,0,0,1
1998-08-28,3,18109,3.0,0,0,1
1997-12-03,1,17085,2.0,0,0,1
1998-06-04,1,17113,2.0,0,0,1
1998-04-26,1,17031,5.0,0,0,1
1998-05-27,1,17031,5.0,0,0,1
1995-10-20,1,19055,2.0,0,0,1
1999-01-07,1,04013,4.0,0,1,0
1997-04-26,1,04013,4.0,0,0,1
1998-02-16,1,01053,3.0,0,0,1
1994-12-19,1,01053,3.0,0,0,1
2002-03-03,3,40101,3.0,1,0,0
2001-09-25,1,17113,2.0,0,1,0
