REPORT_DATE,FATALITIES,STATE,COUNTY,change_2007,change_2008,change_2015,change_2016,change_2006_2016,indicator_2002_2006,indicator_1999_2001,indicator_1993_1998,has_accident_before_2006,name,Longitude,Latitude,Region,Family,Color,Nearest Neighbor,Region_color,simple_family
2024-04-05,2,CA,6071,1.0,-4.0,-3.0,1.0,-5.0,0,0,0,0,San Bernardino,-116.1783784,34.84157876,W,Containment,green,Las Vegas (AZ),#d62728,Reform
2024-04-13,3,SC,45079,0.0,0.0,0.0,0.0,-2.0,0,0,0,0,Richland,-80.90384361,34.02226754,S,Middle America,orange,Charlotte (NC),#1f77b4,Traditional
2024-04-14,1,NC,37071,0.0,0.0,0.0,0.0,0.0,0,0,0,0,Gaston,-81.18014844,35.29432138,S,Middle America,orange,Charlotte (NC),#1f77b4,Traditional
2024-03-28,1,NC,37091,0.0,0.0,0.0,0.0,1.0,0,0,0,0,Hertford,-76.98162611,36.35892018,S,Middle America,orange,Norfolk (VA),#1f77b4,Traditional
2024-03-16,1,IL,17043,-1.0,0.0,0.0,2.0,4.0,0,0,0,0,DuPage,-88.08563421,41.85173736,MW,Middle America,orange,Chicago (IL),#f7b6d2,Traditional
2024-04-04,1,SC,45007,0.0,0.0,-1.0,0.0,-3.0,0,0,0,0,Anderson,-82.63793115,34.5189668,S,Middle America,orange,Atlanta,#1f77b4,Traditional
2024-04-11,1,TN,47093,-1.0,0.0,0.0,0.0,-1.0,0,0,0,0,Knox,-83.93759106,35.99332876,S,Middle America,orange,Atlanta,#1f77b4,Traditional
2024-03-28,1,IL,17037,0.0,0.0,0.0,0.0,0.0,0,0,0,0,DeKalb,-88.76979995,41.8933691,MW,Middle America,orange,Chicago (IL),#f7b6d2,Traditional
2023-12-31,1,CA,6013,0.0,0.0,0.0,0.0,-1.0,0,0,0,0,Contra Costa,-121.9281273,37.91933375,W,Growth Control,green,San Francisco,#d62728,Reform
2024-03-28,1,NC,37091,0.0,0.0,0.0,0.0,1.0,0,0,0,0,Hertford,-76.98162611,36.35892018,S,Middle America,orange,Norfolk (VA),#1f77b4,Traditional
2024-01-19,1,OR,41047,0.0,0.0,1.0,0.0,0.0,0,0,0,0,Marion,-122.5849114,44.90322354,W,Containment,green,Portland (WA),#d62728,Reform
2024-01-03,1,CA,6029,2.0,1.0,0.0,0.0,1.0,0,0,0,0,Kern,-118.72959,35.34292819,W,Growth Management,green,Los Angeles,#d62728,Reform
2024-02-28,1,NC,37057,0.0,0.0,0.0,0.0,-1.0,0,0,0,0,Davidson,-80.21253309,35.79311799,S,Middle America,orange,Greensboro,#1f77b4,Traditional
2024-02-28,1,AR,5019,0.0,0.0,0.0,-1.0,-1.0,0,0,0,0,Clark,-93.17667235,34.05108285,S,Containment,green,Memphis (AR),#1f77b4,Reform
2023-11-11,1,CA,6077,0.0,1.0,0.0,1.0,1.0,0,0,0,0,San Joaquin,-121.2712102,37.9345275,W,Growth Management,green,Sacramento,#d62728,Reform
2024-02-22,1,KY,21111,0.0,0.0,0.0,0.0,0.0,0,0,0,0,Jefferson,-85.65772828,38.18834895,MW,Middle America,orange,Louisville (IN),#f7b6d2,Traditional
2024-02-21,2,GA,13051,0.0,0.0,0.0,0.0,-3.0,0,0,0,0,Chatham,-81.13247732,32.00445256,S,Growth Management,green,Jacksonville,#1f77b4,Reform
2023-12-29,1,WA,53053,0.0,1.0,0.0,0.0,2.0,0,0,0,0,Pierce,-122.1122121,47.02680625,W,Containment,green,Seattle,#d62728,Reform
2023-10-18,1,MI,26025,1.0,0.0,0.0,0.0,0.0,0,0,0,0,Calhoun,-85.00508394,42.24636617,MW,Middle America,orange,Grand Rapids,#f7b6d2,Traditional
2023-10-29,1,CO,8059,0.0,0.0,0.0,0.0,0.0,0,0,0,0,Jefferson,-105.2504738,39.58646067,W,Growth Control,green,Denver,#d62728,Reform
2022-10-25,1,NV,32003,0.0,-2.0,0.0,0.0,-3.0,0,0,0,0,Clark,-115.0146087,36.21511541,W,Containment,green,Las Vegas (AZ),#d62728,Reform
2024-01-18,1,IN,18087,0.0,0.0,0.0,0.0,1.0,0,0,0,0,LaGrange,-85.42669106,41.64234778,MW,Middle America,orange,Grand Rapids,#f7b6d2,Traditional
2023-08-01,1,AZ,4015,0.0,0.0,1.0,-1.0,1.0,0,0,0,0,Mohave,-113.7581706,35.70456821,W,Containment,green,Las Vegas (AZ),#d62728,Reform
2024-01-09,1,OH,39113,0.0,0.0,0.0,1.0,2.0,0,0,0,0,Montgomery,-84.29037841,39.75442102,S,Middle America,orange,Cincinnati (KY),#1f77b4,Traditional
2024-01-26,1,AL,1015,0.0,0.0,0.0,0.0,-1.0,0,0,0,0,Calhoun,-85.82574705,33.77141549,S,Middle America,orange,Atlanta,#1f77b4,Traditional
2024-01-21,1,NC,37097,0.0,0.0,0.0,-1.0,-4.0,0,0,0,0,Iredell,-80.87332588,35.8068797,S,Middle America,orange,Charlotte (NC),#1f77b4,Traditional
2023-12-30,1,AZ,4015,0.0,0.0,1.0,-1.0,1.0,0,0,0,0,Mohave,-113.7581706,35.70456821,W,Containment,green,Las Vegas (AZ),#d62728,Reform
2024-01-16,1,TN,47189,0.0,0.0,0.0,0.0,0.0,0,0,0,0,Wilson,-86.29778739,36.15428192,S,Containment,green,Nashville,#1f77b4,Reform
2023-11-05,1,CA,6037,0.0,0.0,-2.0,0.0,-6.0,0,0,0,0,Los Angeles,-118.224703,34.32134579,W,Growth Management,green,Los Angeles,#d62728,Reform
2023-10-22,1,CA,6047,0.0,1.0,0.0,0.0,0.0,0,0,0,0,Merced,-120.7175058,37.19189197,W,Growth Management,green,Sacramento,#d62728,Reform
2023-12-15,1,VA,51121,0.0,0.0,0.0,0.0,-1.0,0,0,0,0,Montgomery,-80.38642559,37.17483569,S,Middle America,orange,Greensboro,#1f77b4,Traditional
2024-01-02,1,GA,13135,0.0,0.0,1.0,0.0,1.0,0,0,0,0,Gwinnett,-84.02400746,33.9614268,S,Middle America,orange,Atlanta,#1f77b4,Traditional
2023-12-27,1,AL,1085,1.0,0.0,0.0,-1.0,1.0,0,0,0,0,Lowndes,-86.65002353,32.1550404,S,Middle America,orange,Atlanta,#1f77b4,Traditional
2023-12-14,1,SC,45053,0.0,0.0,0.0,-1.0,0.0,0,0,0,0,Jasper,-81.03177638,32.43633197,S,Growth Management,green,Jacksonville,#1f77b4,Reform
2023-04-01,1,CA,6071,1.0,-4.0,-3.0,1.0,-5.0,0,0,0,0,San Bernardino,-116.1783784,34.84157876,W,Containment,green,Las Vegas (AZ),#d62728,Reform
2023-11-16,1,LA,22097,0.0,0.0,1.0,0.0,-1.0,0,0,0,0,St. Landry,-92.00579532,30.59908084,S,Containment-Lite,green,New Orleans,#1f77b4,Reform
2023-08-06,2,SC,45007,0.0,0.0,-1.0,0.0,-3.0,0,0,0,0,Anderson,-82.63793115,34.5189668,S,Middle America,orange,Atlanta,#1f77b4,Traditional
2023-10-29,1,MO,29161,1.0,0.0,0.0,0.0,1.0,0,0,0,0,Phelps,-91.79238502,37.87731447,MW,Middle America,orange,St. Louis (MO),#f7b6d2,Traditional
2023-10-28,1,NC,37069,0.0,0.0,0.0,0.0,1.0,0,0,0,0,Franklin,-78.2853416,36.08251637,S,Middle America,orange,Raleigh,#1f77b4,Traditional
2023-05-01,1,NJ,34023,-1.0,1.0,0.0,-2.0,0.0,0,0,0,0,Middlesex,-74.41108832,40.43949114,NE,High Density,orange,New York (NY),#9edae5,Traditional
2023-10-27,1,LA,22019,-2.0,1.0,0.0,-2.0,-3.0,0,0,0,0,Calcasieu,-93.35798129,30.22942198,S,Houston,red,Houston,#1f77b4,Wild Texas
2023-11-14,2,NV,32003,0.0,-2.0,0.0,0.0,-3.0,0,0,0,0,Clark,-115.0146087,36.21511541,W,Containment,green,Las Vegas (AZ),#d62728,Reform
2023-10-27,1,MI,26133,0.0,0.0,0.0,0.0,0.0,0,0,0,0,Osceola,-85.32556471,43.98998373,MW,Middle America,orange,Grand Rapids,#f7b6d2,Traditional
2023-10-12,1,NC,37061,0.0,0.0,0.0,1.0,1.0,0,0,0,0,Duplin,-77.93295681,34.93627171,S,Middle America,orange,Raleigh,#1f77b4,Traditional
2023-10-16,1,SC,45039,0.0,0.0,0.0,0.0,0.0,0,0,0,0,Fairfield,-81.12125577,34.39533447,S,Middle America,orange,Charlotte (NC),#1f77b4,Traditional
2023-08-24,1,FL,12003,0.0,0.0,0.0,0.0,0.0,0,0,0,0,Baker,-82.28452499,30.3309289,S,Growth Management,green,Jacksonville,#1f77b4,Reform
2023-10-14,1,NC,37063,0.0,0.0,0.0,0.0,0.0,0,0,0,0,Durham,-78.87606872,36.03605321,S,Middle America,orange,Raleigh,#1f77b4,Traditional
2023-10-19,1,NC,37071,0.0,0.0,0.0,0.0,0.0,0,0,0,0,Gaston,-81.18014844,35.29432138,S,Middle America,orange,Charlotte (NC),#1f77b4,Traditional
2023-09-01,1,MS,28049,0.0,0.0,0.0,0.0,-1.0,0,0,0,0,Hinds,-90.44251629,32.26628404,S,Containment-Lite,green,New Orleans,#1f77b4,Reform
2023-06-23,1,MI,26025,1.0,0.0,0.0,0.0,0.0,0,0,0,0,Calhoun,-85.00508394,42.24636617,MW,Middle America,orange,Grand Rapids,#f7b6d2,Traditional
2023-09-12,1,OK,40109,2.0,-1.0,2.0,0.0,2.0,0,0,0,0,Oklahoma,-97.4075036,35.55141319,S,Middle America,orange,Oklahoma City,#1f77b4,Traditional
2023-09-23,1,ID,16053,0.0,0.0,0.0,0.0,-1.0,0,0,0,0,Jerome,-114.2642648,42.68974614,W,High Density,orange,Salt Lake City,#d62728,Traditional
2023-09-22,1,SC,45007,0.0,0.0,-1.0,0.0,-3.0,0,0,0,0,Anderson,-82.63793115,34.5189668,S,Middle America,orange,Atlanta,#1f77b4,Traditional
2023-06-17,1,CA,6059,-3.0,0.0,0.0,0.0,-3.0,0,0,0,0,Orange,-117.760976,33.70311134,W,Growth Management,green,Los Angeles,#d62728,Reform
2023-08-09,1,CA,6085,0.0,0.0,1.0,0.0,0.0,0,0,0,0,Santa Clara,-121.6951016,37.23169965,W,Growth Control,green,San Francisco,#d62728,Reform
2023-07-08,1,CA,6023,0.0,0.0,1.0,0.0,-1.0,0,0,0,0,Humboldt,-123.8755258,40.69940115,W,Growth Management,green,Sacramento,#d62728,Reform
2023-09-13,2,AR,5143,0.0,0.0,0.0,1.0,2.0,0,0,0,0,Washington,-94.21571712,35.97899668,MW,Middle America,orange,Kansas City (MO),#f7b6d2,Traditional
2023-09-06,1,OK,40025,0.0,0.0,0.0,0.0,-1.0,0,0,0,0,Cimarron,-102.5178111,36.74826632,W,Growth Control,green,Denver,#d62728,Reform
2022-01-26,1,OK,40081,0.0,0.0,0.0,0.0,0.0,0,0,0,0,Lincoln,-96.88123961,35.7027284,S,Middle America,orange,Oklahoma City,#1f77b4,Traditional
2022-01-26,1,OK,40081,0.0,0.0,0.0,0.0,0.0,0,0,0,0,Lincoln,-96.88123961,35.7027284,S,Middle America,orange,Oklahoma City,#1f77b4,Traditional
2023-08-27,1,IN,18081,-1.0,0.0,0.0,0.0,-1.0,0,0,0,0,Johnson,-86.10174496,39.4899568,MW,Middle America,orange,Indianapolis,#f7b6d2,Traditional
2023-08-04,1,OK,40035,0.0,0.0,0.0,-1.0,-3.0,0,0,0,0,Craig,-95.20866115,36.76178038,MW,Middle America,orange,Kansas City (MO),#f7b6d2,Traditional
2023-08-24,1,VA,51087,-1.0,0.0,0.0,0.0,-3.0,0,0,0,0,Henrico,-77.40505652,37.53796421,S,Middle America,orange,Richmond,#1f77b4,Traditional
